Year,Month,Day,Hour,Date/Time,Biomass,Hydro,Wind onshore,Wind offshore,PV,Nuclear,Lignite,Hard Coal,Natural Gas,Pump,Others,Consumption,Exportsaldo,Imports,Exports,DE>SE,SE>DE,DE>AT,AT>DE,DE>CH,CH>DE,DE>CZ,CZ>DE,DE>DK,DK>DE,DE>FR,FR>DE,DE>NL,NL>DE,DE>PL,PL>DE,DE>LX,LX>DE,DE>NO,NO>DE,Day-Ahead Spot price €/MWh,Emissions of power production t CO2,Emission factor g/kWh
2020,1,2,3,01/02/2020 02:00:00,5422.56591336961,1845.59094784801,6553.29045576122,5040.53693019102,0,8137.94305946233,11062.4798467091,1303.35436536543,7696.55976837475,14.75,2156.62136909578,46163.6926561773,3070,5576,8646,0,615,3916,45,576,389,1113,1174,10,1894,2000,768,691,14,0,671,340,6,0,0,30.5,19402.4006855549,414.13279589402
2020,1,2,4,01/02/2020 03:00:00,5378.22217265679,1817.82512427154,6039.96838198858,5228.74247223579,0,8136.68669995706,10540.7203373955,1316.96879118749,7489.5392687453,29.75,2147.75016062716,46283.1734090652,1843,6016,7859,0,615,4629,104,497,656,1200,1224,28,1897,555,843,610,0,0,671,340,6,0,0,28.79,18751.89187656,410.128197957177
2020,1,2,5,01/02/2020 04:00:00,5365.03131307765,1803.77494848586,6078.07314112915,5318.06462120089,0,8137.94305946233,9094.29130003952,1343.59255723952,7620.01876911585,51.5,2154.17413917341,46640.4638489242,326,7106,7432,0,615,4927,160,459,944,1367,1364,203,2078,127,405,1,1014,0,521,348,5,0,0,28.42,17257.0972209879,387.606254000715
2020,1,2,6,01/02/2020 05:00:00,5367.27656577197,1762.6280051135,6717.84476593514,5177.16207635454,0,8135.9328842539,9670.35273177558,1347.22307079207,7677.4982694864,202.25,2165.18667382411,46448.3550433072,1775,5932,7707,0,615,4945,60,469,487,1891,585,0,1885,27,392,1,1541,0,361,374,6,0,0,28.75,17928.4993319869,392.839471988601
2020,1,2,7,01/02/2020 06:00:00,5350.99848373815,1774.6710129298,7662.21175839345,5417.19962596779,0,8060.55131393745,10849.3704153154,1579.27339535922,7873.13351930112,177,2158.15088779727,51998.5604127397,-1096,8533,7437,0,615,4615,581,481,288,1628,521,62,1570,155,2124,3,2653,126,174,367,7,0,0,34.16,19464.0750274369,405.012559047036
2020,1,2,8,01/02/2020 07:00:00,5379.90611217753,1834.8860520113,8528.91299973723,5426.25764670791,0,7936.42299481637,11053.5149066865,1824.33306015634,8518.63351930113,2490.5,2168.24571122708,55913.6130028214,-752,7976,7224,0,615,4302,700,554,224,1291,538,48,1437,0,2350,582,1661,49,443,398,8,0,0,42.07,20145.9390539591,404.515333506545
2020,1,2,9,01/02/2020 08:00:00,5402.63929570752,1844.58736386332,8591.53101157332,5501.99276456283,470.024970931047,8141.20959417605,11344.2351045613,2258.48197248211,8878.22776985695,4864.75,2156.31546535549,58320.99531307,1133,7220,8353,0,615,4107,647,836,62,1004,441,5,1526,697,1702,1147,1676,121,541,436,10,0,0,44.89,20931.2216261302,405.665147079146
2020,1,2,10,01/02/2020 09:00:00,5426.21444899787,1846.9290598276,8641.77104432554,5947.59706263942,3436.45947333415,8128.89727102436,11365.7509606155,2762.21572789841,9093.2072702275,4138.25,2150.19739054954,61272.4897094399,1665,5313,6978,0,615,3965,0,702,50,708,798,15,1562,16,1587,970,531,161,160,441,10,0,0,45.26,21435.6831749733,385.146875815442
2020,1,2,11,01/02/2020 10:00:00,5442.21187444491,1884.73072325099,8409.50190739863,6106.11242559156,6706.12707216688,8047.4851750826,11382.6562760866,3008.48556387971,9134.82202041278,3190.5,2142.54979704211,62502.1828353568,2953,5366,8319,0,615,4139,0,939,273,950,899,28,1675,195,1441,1130,131,500,324,438,8,0,0,45.57,21657.4281644551,366.713159570006
2020,1,2,12,01/02/2020 11:00:00,5447.54434959392,1781.69610082264,7515.1322422203,6467.67842013479,8939.22418536866,8049.24407838998,11392.6457806832,3011.51099184017,9069.28102115388,1491,2140.40847086003,63161.3656410676,2144,6225,8369,0,615,4178,0,1017,387,983,1173,51,1724,147,1848,888,123,657,349,448,6,0,0,45.09,21643.8115820898,357.311376001636
2020,1,2,13,01/02/2020 12:00:00,5467.19031066922,1799.0915565573,6797.937571772,6448.30432021842,9418.27232328093,8044.21864036889,11395.9756155488,3036.92458670802,9039.1252717097,1357.75,2144.07931574359,63273.8695125768,1675,6481,8156,0,615,4052,0,723,550,945,924,51,1750,323,1901,961,384,640,351,461,6,0,0,45.16,21663.641451125,358.996029148655
2020,1,2,14,01/02/2020 13:00:00,5466.06768432206,1811.1345643736,6858.85664530247,6427.42055017869,7915.77830625586,8042.4597370615,11394.6949098312,3178.81715805351,9019.60477208025,1394.75,2141.02027834062,62577.6046057998,1073,7816,8889,0,615,4822,0,717,619,948,1387,36,1753,69,2389,1205,784,642,264,450,5,0,0,44.9,21767.1384604145,368.650082404519
