Year,Month,Day,Hour,Date/Time,Biomass,Hydro,Wind onshore,Wind offshore,PV,Nuclear,Lignite,Hard Coal,Natural Gas,Pump,Others,Consumption,Exportsaldo,Imports,Exports,DE>SE,SE>DE,DE>AT,AT>DE,DE>CH,CH>DE,DE>CZ,CZ>DE,DE>DK,DK>DE,DE>FR,FR>DE,DE>NL,NL>DE,DE>PL,PL>DE,DE>LX,LX>DE,DE>NO,NO>DE,DE>BE,BE>DE,Day-Ahead Spot price Euro/MWh,Emissions of power production t CO2,Emission factor g/kWh
2021,1,1,21,01/01/2021 20:00:00,5496.01637995136,1662.39732124793,4232.75347926492,734.699525910455,0,8172.30366501451,11171.755834856,4295.95047583316,12780.6292427855,1081.25,2150.32765549234,52365.3335803561,-587.25,9071,8483.75,0,615,1368,411,1527,265,220,2053,210,2761,2957,834,1079,517,0,304,407,0,0,700,715.75,611,57.4,24037.8391846823,499.605302168388
2021,1,1,22,01/01/2021 21:00:00,5485.92704584854,1698.13660826286,4494.87240623694,642.925640493959,0,8168.79505538802,11051.6239776481,3936.12537614983,12777.8792427855,766,2167.93230286538,51058.7176556791,131.5,8815.5,8947,0,615,1458,224,1834,139,175,2297,192,2856,3352,882,867,437,0,216,387,0,0,700,682,449.5,53.86,23639.5977830115,493.463143136623
2021,1,1,23,01/01/2021 22:00:00,5479.69539831445,1704.38230890624,4774.20364548668,836.642262896646,0,8161.02599121508,10946.4452419071,3802.19819619047,12456.3589464637,1057,2139.12469807313,51037.0766894535,320,9133.25,9453.25,0,615,1640,171,1720,50,50,2750,102,2934,3829,1105,794,187,0,100,423,0,0,700,895.25,521.25,53.45,23247.8307354351,486.535180579801
2021,1,1,24,01/01/2021 23:00:00,5467.52884836693,1697.09565815563,4678.55236725768,581.149867208062,0,8161.77783613504,11042.2465963893,3369.29664769115,11606.032378571,315.5,2110.31709328089,48642.7472930556,386.75,10061.5,10448.25,0,615,882,109,1824,35,0,2915,111,3111,4763,1834,1376,439,0,95,405,0,0,700,1087.25,208.5,49.72,22632.3484602046,488.66703197922
2021,1,2,1,01/02/2021 00:00:00,5451.80135697135,1654.76368712823,4566.91822762794,407.008284077037,0,8112.9079163375,11501.7382780725,3189.80088367924,10443.3995391072,61.75,2135.60376859852,48002.6919415995,-477,8519,8042,0,615,78,2,1772,623,25,2924,7,2683,3553,100,1310,392,0,480,396,0,0,700,901,0,46.69,22601.2261546553,501.180552896626
2021,1,2,2,01/02/2021 01:00:00,5407.28958887067,1610.34981588638,4415.69576975946,417.685578225217,0,8140.22494842946,11723.2472299705,3025.86512397795,10067.3635638579,41.75,2026.45495488568,47022.9265738631,-147,8466,8319,0,615,0,44,1474,551,0,2980,15,2747,3245,38,2202,296,0,495,383,0,0,700,1000,0,42.43,22387.3644436237,502.92249021933
2021,1,2,3,01/02/2021 02:00:00,5424.79755099027,1626.65803423299,4171.28093541595,554.456631837613,0,8120.42636553712,11548.3717416299,2836.36650005206,9849.96042807234,39.75,2032.21647584413,47134.2846636124,-930,9257,8327,0,615,490,7,1252,521,0,2960,48,2636,2708,623,2522,705,0,490,377,0,0,700,930,0,41.09,21965.5170693774,501.045030891531
2021,1,2,4,01/02/2021 03:00:00,5420.93986442155,1643.66021931777,4159.96998734773,401.669637002948,0,8114.41160617743,11340.8021402518,2848.03650328503,9841.36356385786,28.5,2037.0177433095,46422.3712649716,-586,8711,8125,0,615,1062,21,1144,530,0,2940,35,2564,2427,473,2294,453,0,415,375,0,0,700,788,0,40,21747.0423978313,499.726808014604
2021,1,2,5,01/02/2021 04:00:00,5385.330449941,1619.37138348238,4061.85980736477,309.133087718724,0,8151.50262222889,11679.1481937802,2903.33009003174,9915.59326753614,52.5,2049.18095422179,46842.4498563057,-715.5,8517,7801.5,0,615,1469,6,1148,554,0,2973,26,2487,1670,352,2218,500,0,295,375,0,0,700,895.5,35,37.55,22212.4903372143,507.554913821596
2021,1,2,6,01/02/2021 05:00:00,5345.86334889173,1546.15789260713,3669.66497760832,372.94263131856,0,8160.52476126843,12139.6536464103,2919.72366600186,10034.7464033217,263,2071.26678456251,46048.2941119905,475.25,8007.5,8482.75,0,615,1665,53,1205,574,0,2959,76,2385,2217,0,2125,295,0,315,383,0,0,700,811.75,111.5,39,22819.0303102469,518.744149467269
2021,1,2,7,01/02/2021 06:00:00,5338.14797575428,1597.16444786145,3398.69400432205,490.647088237778,0,8149.74831741564,12310.9809364367,3250.92947204243,10262.7261069999,77,2086.31075595401,45708.8491050243,1253.5,7335.75,8589.25,0,615,857,8,1136,178,125,2836,132,2218,2767,50,2372,320,0,172,362,0,0,700,838.25,238.75,42.09,23390.2619978818,524.086489258543
2021,1,2,8,01/02/2021 07:00:00,5327.46515141012,1600.63428155222,3034.03887420994,615.723962545025,0.326319503504875,8144.98663292255,12499.2888898237,3769.96675868988,10732.5729712144,52.25,2085.67058695863,46756.6744288299,1106.25,7472.5,8578.75,0,615,524,27,1139,188,0,2802,111,2200,3935,398,1628,143,0,190,376,0,0,700,865.75,209.5,44.96,24199.9434341831,531.818098220233
2021,1,2,9,01/02/2021 08:00:00,5342.89589768502,1642.61926921054,2727.16793531586,449.717460669756,201.665453166013,8073.31075055283,12950.9238466683,3892.77964985593,11759.9761069999,118.25,2085.35050246094,49897.1568725852,-652.5,7878.25,7225.75,0,615,458,0,1370,684,40,2943,188,2031,3495,458,554,194,0,130,403,0,0,700,717.75,123.25,48.45,25192.0496933503,539.84906487675
2021,1,2,10,01/02/2021 09:00:00,5364.85503661469,1667.60207178408,2313.58066029997,347.012059815838,1281.78300976715,8162.27906608168,13229.964299803,4114.78756850225,12633.6089464637,934.25,2083.42999547479,52150.9027146072,-17.75,7491.25,7473.5,0,615,1068,2,1752,813,0,2663,68,2120,3387,25,136,12,55,357,425,0,0,700,582.5,184.25,52,26011.7535632407,534.931720501877
2021,1,2,11,01/02/2021 10:00:00,5410.55378519805,1607.57394893376,1769.42570214885,284.219401372972,2873.56954786393,8172.05305004119,13344.2669740662,4503.23196182834,12862.8183538203,1558.25,2084.39024896786,54481.1029742414,-10.75,6870.25,6859.5,0,318,1033,17,1629,333,90,2507,59,2036,2914,20,111,38,68,421,441,0,0,700,514.5,480.25,52,26544.0648432569,528.507685638586
2021,1,2,12,01/02/2021 11:00:00,5393.6393133198,1613.47266620807,1338.38022467985,267.695017572218,4320.79654590806,8173.30612490779,13360.4873092166,4734.68702594897,12882.1043290696,1505.25,2076.38813652557,56350.7066933565,-684.5,7205.25,6520.75,0,186,1338,153,1523,337,25,2520,0,2264,2658,1,48,322,84,439,454,0,0,700,390.75,283.25,52.15,26744.4980429361,520.511514186167
2021,1,2,13,01/02/2021 12:00:00,5398.68398037121,1599.24634807591,1020.44422789296,285.490507819184,4863.79219974017,8175.56165966768,13351.6168134312,4687.17344135758,12799.3340327479,861.5,2098.79405136399,57520.8872624678,-2379.25,7824.75,5445.5,0,615,431,30,1142,347,0,2085,0,2390,2889,210,9,584,84,526,456,0,0,700,434.5,337.75,55.95,26702.3595087502,519.070551052196
2021,1,2,14,01/02/2021 13:00:00,5416.19194249081,1581.55019625298,909.301868614016,249.899527325252,4009.1614200609,8175.812274641,13334.6361500706,4715.51487778052,12803.0637364262,736.75,2084.71033346556,56543.3423271278,-2526.75,7781,5254.25,0,411,644,95,1434,104,0,2228,0,2253,2133,416,10,631,143,631,439,0,0,700,451.25,312,52,26684.5912055693,528.506464854609
2021,1,2,15,01/02/2021 14:00:00,5449.13065088531,1580.50924614575,1090.52292788079,209.732563624957,2331.55285254234,8174.30858480107,13318.1623721834,4796.37132875183,12712.9871685334,1288.5,2079.58898150249,55428.3666768514,-2397,7329.75,4932.75,0,380,603,13,1229,247,0,2243,0,2188,1926,100,186,685,204,585,425,0,0,700,359.75,188.75,50.69,26690.5756753983,544.610117081297
2021,1,2,16,01/02/2021 15:00:00,5445.27296431659,1557.60834378667,1345.01925941554,373.705295186287,770.440347775011,8173.80735485443,13360.4873092166,4673.55843758578,12700.0840327479,320.75,2074.46762953942,54914.4509744242,-4119.25,7612.5,3493.25,0,316,207,11,1238,620,300,2189,0,2385,879,0,54,707,137,499,426,0,0,700,252.25,185.5,53.45,26624.1056110192,557.391621888404
2021,1,2,17,01/02/2021 16:00:00,5447.35018016128,1553.09755998867,1698.36344145944,501.832824964442,30.6740333294583,8172.55427998783,13509.7650811479,4806.09633144597,12769.4308969624,1284,2076.06805202788,56175.9826814752,-4326.75,8127.5,3800.75,0,0,575,6,931,1343,350,2008,5,2050,1101,579,41,750,205,527,446,0,0,700,146.75,164.5,59.99,26926.0548532047,563.376367729976
2021,1,2,18,01/02/2021 17:00:00,5435.18363021376,1569.75276170437,2080.96855437545,741.309279430757,0,8175.31104469436,13515.5942640925,5037.82925278643,12832.4308969624,4374.5,2078.94881250711,58684.0784967671,-2842.25,7635,4792.75,0,124,2,169,1554,1503,0,2197,107,1802,1644,484,181,0,124,535,470,0,0,700,710.75,121,62,27149.6808559967,558.952249298664
2021,1,2,19,01/02/2021 18:00:00,5445.56970943726,1556.91437704852,2661.51525848516,1118.31945137719,0,8170.29874522794,13522.1837752474,5131.74499308988,12832.7777611768,4438.5,2070.30653106943,59180.3806021596,-2232.25,8315,6082.75,0,500,0,283,1178,1283,0,2235,120,2061,3100,400,208,118,106,490,480,0,0,700,890.75,245,63.08,27219.0691389866,548.879219655901
2021,1,2,20,01/02/2021 19:00:00,5461.5939459535,1563.1600776919,3188.21201418316,1319.9169337464,0,8166.28890565481,13534.6024693469,4962.25208899194,12919.7011932841,3544.5,2068.06593958559,57570.7935684383,-842.5,8670.25,7827.75,0,615,0,1022,1855,1112,150,1869,226,2414,4020,413,158,0,76,448,464,2,0,700,878.75,75.25,62.17,27125.6810600453,538.808403203728
2021,1,2,21,01/02/2021 20:00:00,5455.95578866075,1552.75057661959,3563.4404218373,1438.38405453334,0,8165.53706073485,13333.6223791237,4994.48352649253,12881.7620822492,1991.75,2072.54712255327,54639.7330128046,810.5,7444.75,8255.25,0,615,467,4,1899,0,0,2432,273,2729,4124,156,136,307,64,387,432,4,0,700,860.25,110.75,60.03,26921.3157165897,530.332248705514
2021,1,2,22,01/02/2021 21:00:00,5460.40696547082,1587.44891352729,4019.56669719668,1555.32584758483,0,8160.52476126843,13222.614460438,4668.83486484862,12809.782378571,475.5,2074.78771403712,52927.7926029427,1107,7425,8532,0,615,548,1,1965,10,0,2562,136,2735,4453,66,163,437,60,263,399,5,0,700,808,31,55.03,26508.8730192632,520.308538548032
2021,1,2,23,01/02/2021 22:00:00,5453.58182769538,1599.94031481407,4703.63316514806,1795.31074462963,0,8158.01861153523,12970.4389373962,4329.29334221308,12260.282378571,477.25,2077.34839001865,52410.5977120212,1414.5,7124,8538.5,0,615,52,0,1989,0,0,2566,86,2810,4801,200,276,0,0,215,434,6,0,700,900.5,12,52.25,25746.9211030278,507.204163742845
2021,1,2,24,01/02/2021 23:00:00,5449.42739600598,1553.09755998867,5428.27151203976,2477.8949062454,0,8136.96695377629,12292.7330593924,4211.20402378419,11058.7261069999,426.25,2079.90906600018,50987.4805842328,2127,8241.5,10368.5,0,615,0,270,1990,0,0,2935,86,2853,5746,543,1147,60,0,235,414,8,0,700,985.5,22.5,48.45,24445.0740222666,487.215467612618
2021,1,3,1,01/03/2021 00:00:00,5432.21617900705,1591.61271395622,6389.7020978377,2803.55237776488,0,8012.91254198254,10990.2908353606,4530.18411215211,9621.57297121441,111.25,2136.24393759391,47890.5377668694,3729,7823,11552,0,615,278,0,1896,99,0,2750,0,2957,5329,494,2657,0,12,250,380,9,0,649,1000,0,46.11,22804.6761186692,464.020341836271
2021,1,3,2,01/03/2021 01:00:00,5393.6393133198,1558.30231052482,7298.02040575013,2777.11336368367,0,7756.28280930216,10267.9790356932,4186.75258843891,8972.78237857097,105.75,2138.80461357544,46252.4268188591,4203,8179,12382,0,615,392,361,1875,78,0,2537,30,3165,5652,435,3068,53,0,262,365,13,0,660,1000,0,43,21478.792379515,446.84133986718
2021,1,3,3,01/03/2021 02:00:00,5398.38723525054,1557.95532715575,8132.3257708684,3274.37020544175,0,7560.30190016537,9540.85182402797,3756.07389769825,8861.35894646373,46.75,2134.96359960314,45722.3387066749,4541,7708,12249,0,615,451,95,1935,135,0,2374,1,3162,5464,423,3040,0,0,230,358,14,0,660,1000,0,39.55,20269.4601439303,422.622812759789
2021,1,3,4,01/03/2021 03:00:00,5382.65974385496,1561.7721442156,8865.57027389896,3613.75562658032,0,7631.22593761513,9133.31590337352,3227.03375113681,8843.53237857097,91.5,2127.92174065393,47412.2874999002,3066,7442,10508,0,615,1115,31,1475,79,0,2334,46,3143,4487,400,2029,0,0,167,356,13,0,660,1000,0,35.18,19365.1242157527,403.03750319513
2021,1,3,5,01/03/2021 04:00:00,5368.11923294207,1598.89936470683,9690.04003200139,3846.62232752633,0,7638.24315686811,8215.59975369082,3091.99514229813,8841.78237857097,135.5,2139.44478257082,47845.2461711755,2721,7403,10124,0,615,1563,105,1475,87,41,2015,15,3128,4014,400,1990,2,0,389,354,12,0,650,672,0,33.45,18251.1234112668,379.673720617491
2021,1,3,6,01/03/2021 05:00:00,5344.67636840905,1601.67523165945,10816.7088156654,4684.78991815843,0,7615.93842424257,7882.57599763363,2961.6801061966,8896.89953910717,126.25,2142.64562754774,47987.84002862,4086,7282,11368,0,615,2206,100,1275,75,135,2041,8,3067,4277,400,2104,0,0,325,357,13,6,646,1000,0,32.37,17800.4202145071,359.021624901239
2021,1,3,7,01/03/2021 06:00:00,5346.75358425375,1612.43171610084,12055.9952996607,5032.31042055275,0,7608.67059001627,7309.54196989748,3641.31886590735,8871.99178592752,72,2133.68326161238,47595.697493929,6089,7511,13600,0,615,2638,46,1201,1,291,2463,5,3086,5389,400,2729,2,0,257,327,15,20,620,1000,6,31.7,17691.4423769698,345.099160709449
