Year,Month,Day,Hour,Date/Time,Biomass,Hydro,Wind onshore,Wind offshore,PV,Nuclear,Lignite,Hard Coal,Natural Gas,Pump,Others,Consumption,Exportsaldo,Imports,Exports,DE>SE,SE>DE,DE>AT,AT>DE,DE>CH,CH>DE,DE>CZ,CZ>DE,DE>DK,DK>DE,DE>FR,FR>DE,DE>NL,NL>DE,DE>PL,PL>DE,DE>LX,LX>DE,Day-Ahead Spot price €/MWh,Emissions of power production t CO2,Emission factor g/kWh
2019,1,2,1,01/02/2019 00:00:00,5168.4114198073,1996.12570661238,33500.3780980021,1657.99543213634,0,5811.33823110295,5361.44657807774,2097.25778572487,7905.21371322368,1,2042.62119488924,54241.7881595767,11300,1416,12716,76,0,3519,82,800,0,1674,885,2036,425,3458,0,754,0,0,0,399,24,-33.57,13417.6354133875,212.331605582512
2019,1,2,2,01/02/2019 01:00:00,5154.47027478032,1929.01085096706,32159.6305474991,2021.33385592535,0,5751.42235874051,5206.94557773263,2162.75480264905,7757.96371322368,1,1728.75440468466,52043.2863862024,11830,1236,13066,67,0,3493,149,800,0,1872,717,2152,346,3568,0,728,0,0,0,386,24,-45.92,12776.6082440261,207.349888188444
2019,1,2,3,01/02/2019 02:00:00,5157.15126420859,1934.42333932555,30973.5063867354,2641.46785742991,0,5751.67305276713,5398.3696984992,2174.66335118071,7787.40936759046,1,1680.00805691913,51185.6723746561,12314,1184,13498,67,0,3510,68,800,0,2280,680,2224,412,3320,0,920,0,0,0,377,24,-48.29,12932.8744042766,211.038311046251
2019,1,2,4,01/02/2019 03:00:00,5144.81871283858,1919.629204479,30042.4599560844,3032.6216629444,0,5766.96538839102,5538.7299293212,2156.52987955295,7778.18654040707,1.75,1674.53652808831,50653.227802107,12403,1222,13625,67,0,3512,54,800,0,2246,914,2316,231,3440,0,870,0,0,0,374,23,-44.99,13059.3984383511,214.577527442016
2019,1,2,5,01/02/2019 04:00:00,5126.05178684073,1870.1951441381,30380.1899915678,3074.59308715516,0,5798.05144769203,5534.27820558245,2217.15521753235,7797.82512681538,68,1690.95111458078,51660.2911219047,11897,1267,13164,67,0,3486,4,800,0,1931,1091,2235,150,3457,0,808,0,0,0,380,22,-48.93,13135.9965164213,214.457607745936
2019,1,2,6,01/02/2019 05:00:00,5134.63095301117,1930.45418119599,31308.1846447896,3240.98867426291,0,6106.90648848918,5617.28976000516,2321.89631484497,8180.65936759046,321.75,1976.46543720745,53991.2258213969,12148,1007,13155,67,0,3474,1,800,0,1804,800,2153,185,3822,0,634,0,0,0,401,21,-29.91,13883.7792297268,218.713049309488
2019,1,2,7,01/02/2019 06:00:00,5139.72483292487,2039.06478092309,31819.3573641582,3851.68531411062,0,7682.51844580259,6141.54569676943,2569.81064336788,8838.54795399876,301.75,2058.53836966982,58699.5434017253,11743,1259,13002,67,0,3920,86,800,0,1767,720,1680,406,3433,0,709,0,218,0,408,47,-0.01,15027.2130482681,222.299815022985
2019,1,2,8,01/02/2019 07:00:00,5177.25868492057,2021.74481817591,31313.016625719,4519.75117876711,0,8609.08356819405,6935.78558498423,3239.12520061366,9118.65936759046,601.75,2187.6167089061,62377.7917378711,11346,1268,12614,67,0,3743,97,800,0,1233,720,1717,96,2876,10,1286,0,429,300,463,45,37.43,16737.6197157897,237.679988752034
2019,1,2,9,01/02/2019 08:00:00,5206.74956863147,2026.07480886271,30263.2051901202,4309.39735446821,116.238256211398,8864.79147534754,8126.22888594844,3720.88011848568,9201.79795399877,1266.5,2211.74117693292,64816.6047890074,10497,1112,11609,67,0,2516,134,800,0,1264,785,1855,49,3013,0,1312,0,285,100,497,44,48.06,18495.5456042959,259.622051328172
2019,1,2,10,01/02/2019 09:00:00,5212.91584431648,1991.43488336835,29251.0323428133,4207.07648597807,1588.94743306066,9039.02382384918,9214.54440702352,4445.67768593583,9498.43654040707,422,2227.1609400016,67004.2503867541,10094,1525,11619,0,0,2841,153,800,0,975,1070,1838,156,3027,0,1461,0,170,100,507,46,50.74,20407.4291862004,276.618322399403
